season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,removed_player
2007,LAL,PHO,8,?,Luke Walton,Maurice Evans,Ronny Turiaf,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Lamar Odom
2007,LAL,PHO,10,?,Luke Walton,Maurice Evans,Ronny Turiaf,Smush Parker,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Lamar Odom
2007,LAL,PHO,12,?,Maurice Evans,Sasha Vujacic,Smush Parker,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Brian Cook
2007,LAL,PHO,13,?,Jordan Farmar,Lamar Odom,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Brian Cook
2007,LAL,PHO,16,?,Jordan Farmar,Lamar Odom,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Marcus Banks,Shawn Marion,Steve Nash,Brian Cook
2007,LAL,PHO,18,?,Lamar Odom,Sasha Vujacic,Smush Parker,Vladimir Radmanovic,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Brian Cook
2007,LAL,PHO,22,?,Lamar Odom,Maurice Evans,Sasha Vujacic,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Andrew Bynum
2007,LAL,PHO,24,?,Lamar Odom,Luke Walton,Maurice Evans,Smush Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Andrew Bynum
2007,LAL,PHO,25,?,Lamar Odom,Luke Walton,Maurice Evans,Smush Parker,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Andrew Bynum
2007,LAL,PHO,31,?,Lamar Odom,Luke Walton,Maurice Evans,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Andrew Bynum
2007,LAL,PHO,33,?,Lamar Odom,Luke Walton,Maurice Evans,Smush Parker,Boris Diaw,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Andrew Bynum
2007,LAL,PHO,36,?,Lamar Odom,Luke Walton,Maurice Evans,Vladimir Radmanovic,Boris Diaw,Kurt Thomas,Leandro Barbosa,Marcus Banks,Raja Bell,Jordan Farmar
2007,LAL,PHO,37,?,Jordan Farmar,Lamar Odom,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Brian Cook
2007,PHO,LAC,5,?,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Tim Thomas,Amar'e Stoudemire
2007,PHO,LAC,8,?,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Corey Maggette,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Amar'e Stoudemire
2007,PHO,LAC,10,?,Leandro Barbosa,Marcus Banks,Shawn Marion,Steve Nash,Corey Maggette,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Amar'e Stoudemire
2007,PHO,LAC,13,?,Boris Diaw,James Jones,Leandro Barbosa,Marcus Banks,Chris Kaman,Corey Maggette,Cuttino Mobley,Sam Cassell,Shaun Livingston,Amar'e Stoudemire
2007,PHO,LAC,15,?,James Jones,Leandro Barbosa,Marcus Banks,Shawn Marion,Chris Kaman,Cuttino Mobley,Sam Cassell,Shaun Livingston,Tim Thomas,Boris Diaw
2007,PHO,LAC,21,?,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Tim Thomas,Amar'e Stoudemire
2007,PHO,LAC,25,?,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Kurt Thomas
2007,PHO,LAC,40,?,Boris Diaw,James Jones,Leandro Barbosa,Marcus Banks,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Tim Thomas,Amar'e Stoudemire
2007,PHO,UTA,0,?,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Kurt Thomas
2007,PHO,UTA,14,?,Boris Diaw,James Jones,Leandro Barbosa,Marcus Banks,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,Paul Millsap,Amar'e Stoudemire
2007,PHO,UTA,16,?,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Andrei Kirilenko,Deron Williams,Matt Harpring,Mehmet Okur,Ronnie Brewer,Boris Diaw
2007,PHO,UTA,17,?,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Boris Diaw
2007,PHO,UTA,22,?,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,Kurt Thomas
2007,PHO,UTA,23,?,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Andrei Kirilenko,Derek Fisher,Gordan Giricek,Matt Harpring,Mehmet Okur,Kurt Thomas
2007,PHO,UTA,34,?,James Jones,Leandro Barbosa,Marcus Banks,Shawn Marion,Andrei Kirilenko,Derek Fisher,Gordan Giricek,Jarron Collins,Matt Harpring,Amar'e Stoudemire
2007,PHO,UTA,42,?,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Andrei Kirilenko,Carlos Boozer,Deron Williams,Gordan Giricek,Matt Harpring,Kurt Thomas
