season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,removed_player
2007,LAL,PHO,8,Lamar Odom,Luke Walton,?,Ronny Turiaf,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Maurice Evans
2007,LAL,PHO,10,Lamar Odom,Luke Walton,?,Ronny Turiaf,Smush Parker,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Maurice Evans
2007,LAL,PHO,12,Brian Cook,Maurice Evans,?,Smush Parker,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Sasha Vujacic
2007,LAL,PHO,13,Brian Cook,Jordan Farmar,?,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Lamar Odom
2007,LAL,PHO,16,Brian Cook,Jordan Farmar,?,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Marcus Banks,Shawn Marion,Steve Nash,Lamar Odom
2007,LAL,PHO,18,Brian Cook,Lamar Odom,?,Smush Parker,Vladimir Radmanovic,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Sasha Vujacic
2007,LAL,PHO,22,Andrew Bynum,Lamar Odom,?,Sasha Vujacic,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Maurice Evans
2007,LAL,PHO,24,Andrew Bynum,Lamar Odom,?,Maurice Evans,Smush Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Luke Walton
2007,LAL,PHO,25,Andrew Bynum,Lamar Odom,?,Maurice Evans,Smush Parker,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Luke Walton
2007,LAL,PHO,31,Andrew Bynum,Lamar Odom,?,Maurice Evans,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Luke Walton
2007,LAL,PHO,33,Andrew Bynum,Lamar Odom,?,Maurice Evans,Smush Parker,Boris Diaw,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Luke Walton
2007,LAL,PHO,36,Jordan Farmar,Lamar Odom,?,Maurice Evans,Vladimir Radmanovic,Boris Diaw,Kurt Thomas,Leandro Barbosa,Marcus Banks,Raja Bell,Luke Walton
2007,LAL,PHO,37,Brian Cook,Jordan Farmar,?,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Lamar Odom
2007,PHO,LAC,5,Amar'e Stoudemire,Leandro Barbosa,?,Shawn Marion,Steve Nash,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Tim Thomas,Raja Bell
2007,PHO,LAC,8,Amar'e Stoudemire,Leandro Barbosa,?,Shawn Marion,Steve Nash,Corey Maggette,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Raja Bell
2007,PHO,LAC,10,Amar'e Stoudemire,Leandro Barbosa,?,Shawn Marion,Steve Nash,Corey Maggette,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Marcus Banks
2007,PHO,LAC,13,Amar'e Stoudemire,Boris Diaw,?,Leandro Barbosa,Marcus Banks,Chris Kaman,Corey Maggette,Cuttino Mobley,Sam Cassell,Shaun Livingston,James Jones
2007,PHO,LAC,15,Boris Diaw,James Jones,?,Marcus Banks,Shawn Marion,Chris Kaman,Cuttino Mobley,Sam Cassell,Shaun Livingston,Tim Thomas,Leandro Barbosa
2007,PHO,LAC,21,Amar'e Stoudemire,Leandro Barbosa,?,Shawn Marion,Steve Nash,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Tim Thomas,Raja Bell
2007,PHO,LAC,25,Kurt Thomas,Leandro Barbosa,?,Shawn Marion,Steve Nash,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Raja Bell
2007,PHO,LAC,40,Amar'e Stoudemire,Boris Diaw,?,Leandro Barbosa,Marcus Banks,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Tim Thomas,James Jones
2007,PHO,UTA,0,Kurt Thomas,Leandro Barbosa,?,Shawn Marion,Steve Nash,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Raja Bell
2007,PHO,UTA,14,Amar'e Stoudemire,Boris Diaw,?,Leandro Barbosa,Marcus Banks,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,Paul Millsap,James Jones
2007,PHO,UTA,16,Boris Diaw,James Jones,?,Leandro Barbosa,Marcus Banks,Andrei Kirilenko,Deron Williams,Matt Harpring,Mehmet Okur,Ronnie Brewer,Kurt Thomas
2007,PHO,UTA,17,Boris Diaw,James Jones,?,Leandro Barbosa,Marcus Banks,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Kurt Thomas
2007,PHO,UTA,22,Kurt Thomas,Leandro Barbosa,?,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,Raja Bell
2007,PHO,UTA,23,Kurt Thomas,Leandro Barbosa,?,Shawn Marion,Steve Nash,Andrei Kirilenko,Derek Fisher,Gordan Giricek,Matt Harpring,Mehmet Okur,Raja Bell
2007,PHO,UTA,34,Amar'e Stoudemire,James Jones,?,Marcus Banks,Shawn Marion,Andrei Kirilenko,Derek Fisher,Gordan Giricek,Jarron Collins,Matt Harpring,Leandro Barbosa
2007,PHO,UTA,42,Kurt Thomas,Leandro Barbosa,?,Shawn Marion,Steve Nash,Andrei Kirilenko,Carlos Boozer,Deron Williams,Gordan Giricek,Matt Harpring,Raja Bell
2007,LAC,PHO,6,Cuttino Mobley,Elton Brand,?,Shaun Livingston,Tim Thomas,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Sam Cassell
2007,LAC,PHO,11,Corey Maggette,Cuttino Mobley,?,Shaun Livingston,Tim Thomas,Amar'e Stoudemire,Boris Diaw,Leandro Barbosa,Marcus Banks,Shawn Marion,Elton Brand
2007,LAC,PHO,14,Chris Kaman,Corey Maggette,?,Shaun Livingston,Tim Thomas,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Cuttino Mobley
2007,LAC,PHO,18,Chris Kaman,Corey Maggette,?,Elton Brand,Sam Cassell,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Daniel Ewing
2007,LAC,PHO,20,Chris Kaman,Corey Maggette,?,Quinton Ross,Sam Cassell,Amar'e Stoudemire,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Elton Brand
2007,LAC,PHO,23,Corey Maggette,Elton Brand,?,Shaun Livingston,Tim Thomas,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Quinton Ross
2007,LAC,PHO,24,Corey Maggette,Cuttino Mobley,?,Shaun Livingston,Tim Thomas,Kurt Thomas,Leandro Barbosa,Marcus Banks,Shawn Marion,Steve Nash,Elton Brand
2007,LAC,PHO,37,Chris Kaman,Corey Maggette,?,Shaun Livingston,Tim Thomas,Boris Diaw,James Jones,Marcus Banks,Raja Bell,Shawn Marion,Cuttino Mobley
2007,LAC,PHO,41,Chris Kaman,Corey Maggette,?,Shaun Livingston,Tim Thomas,Boris Diaw,Kurt Thomas,Leandro Barbosa,Raja Bell,Steve Nash,Cuttino Mobley
2007,SAS,PHO,7,Brent Barry,Michael Finley,?,Tim Duncan,Tony Parker,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Robert Horry
2007,SAS,PHO,18,Beno Udrih,Brent Barry,?,Tim Duncan,Tony Parker,Boris Diaw,Kurt Thomas,Leandro Barbosa,Marcus Banks,Steve Nash,Fabricio Oberto
2007,SAS,PHO,22,Brent Barry,Fabricio Oberto,?,Tim Duncan,Tony Parker,Amar'e Stoudemire,Jalen Rose,Leandro Barbosa,Shawn Marion,Steve Nash,Manu Ginobili
2007,SAS,PHO,23,Brent Barry,Fabricio Oberto,?,Tim Duncan,Tony Parker,Amar'e Stoudemire,Jalen Rose,Raja Bell,Shawn Marion,Steve Nash,Manu Ginobili
2007,SAS,PHO,27,Bruce Bowen,Fabricio Oberto,?,Tim Duncan,Tony Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Manu Ginobili
2007,SAS,PHO,31,Brent Barry,Bruce Bowen,?,Tim Duncan,Tony Parker,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Robert Horry
2007,SAS,PHO,45,Brent Barry,Bruce Bowen,?,Tim Duncan,Tony Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Fabricio Oberto
2007,SAS,PHO,46,Brent Barry,Fabricio Oberto,?,Tim Duncan,Tony Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Manu Ginobili
2007,PHO,DAL,0,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Leandro Barbosa
2007,PHO,DAL,13,Boris Diaw,Jalen Rose,?,Marcus Banks,Shawn Marion,Anthony Johnson,Devean George,Erick Dampier,Jason Terry,Jerry Stackhouse,Leandro Barbosa
2007,PHO,DAL,14,Amar'e Stoudemire,Boris Diaw,?,Leandro Barbosa,Shawn Marion,Anthony Johnson,DeSagana Diop,Devean George,Jason Terry,Jerry Stackhouse,Jalen Rose
2007,PHO,DAL,16,Amar'e Stoudemire,Boris Diaw,?,Leandro Barbosa,Shawn Marion,DeSagana Diop,Devin Harris,Dirk Nowitzki,Jason Terry,Jerry Stackhouse,Jalen Rose
2007,PHO,DAL,17,Amar'e Stoudemire,Jalen Rose,?,Shawn Marion,Steve Nash,DeSagana Diop,Devin Harris,Dirk Nowitzki,Jason Terry,Jerry Stackhouse,Leandro Barbosa
2007,PHO,DAL,22,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Anthony Johnson,Devean George,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,Leandro Barbosa
2007,PHO,DAL,25,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,DeSagana Diop,Devin Harris,Dirk Nowitzki,Jason Terry,Jerry Stackhouse,Leandro Barbosa
2007,PHO,DAL,37,Boris Diaw,Jalen Rose,?,Leandro Barbosa,Steve Nash,Anthony Johnson,Devean George,Erick Dampier,Greg Buckner,Jason Terry,James Jones
2007,PHO,DAL,38,Amar'e Stoudemire,Jalen Rose,?,Leandro Barbosa,Steve Nash,Anthony Johnson,Devean George,Erick Dampier,Greg Buckner,Jason Terry,James Jones
2007,PHO,MEM,0,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Leandro Barbosa
2007,PHO,MEM,9,Boris Diaw,Jalen Rose,?,Shawn Marion,Steve Nash,Dahntay Jones,Damon Stoudamire,Lawrence Roberts,Mike Miller,Rudy Gay,James Jones
2007,PHO,MEM,13,Jalen Rose,Jumaine Jones,?,Leandro Barbosa,Shawn Marion,Chucky Atkins,Dahntay Jones,Eddie Jones,Lawrence Roberts,Rudy Gay,Kurt Thomas
2007,PHO,MEM,15,Jumaine Jones,Kurt Thomas,?,Shawn Marion,Steve Nash,Chucky Atkins,Dahntay Jones,Eddie Jones,Lawrence Roberts,Rudy Gay,Leandro Barbosa
2007,PHO,MEM,19,Amar'e Stoudemire,Kurt Thomas,?,Shawn Marion,Steve Nash,Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Leandro Barbosa
2007,PHO,MEM,23,Amar'e Stoudemire,Kurt Thomas,?,Shawn Marion,Steve Nash,Damon Stoudamire,Eddie Jones,Hakim Warrick,Lawrence Roberts,Mike Miller,Leandro Barbosa
2007,PHO,MEM,25,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Damon Stoudamire,Eddie Jones,Hakim Warrick,Lawrence Roberts,Mike Miller,Leandro Barbosa
2007,PHO,MEM,26,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Leandro Barbosa
2007,PHO,MEM,29,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Alexander Johnson,Dahntay Jones,Kyle Lowry,Lawrence Roberts,Rudy Gay,Leandro Barbosa
2007,PHO,MEM,30,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Dahntay Jones,Hakim Warrick,Kyle Lowry,Lawrence Roberts,Rudy Gay,Leandro Barbosa
2007,PHO,MEM,31,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Dahntay Jones,Hakim Warrick,Kyle Lowry,Lawrence Roberts,Rudy Gay,Jalen Rose
2007,PHO,MEM,35,Amar'e Stoudemire,Boris Diaw,?,Leandro Barbosa,Shawn Marion,Chucky Atkins,Dahntay Jones,Hakim Warrick,Lawrence Roberts,Rudy Gay,Jalen Rose
2007,PHO,PHI,0,Amar'e Stoudemire,Boris Diaw,?,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Chris Webber,Kevin Ollie,Samuel Dalembert,Leandro Barbosa
2007,PHO,PHI,9,Amar'e Stoudemire,Kurt Thomas,?,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Chris Webber,Kyle Korver,Steven Hunter,Leandro Barbosa
2007,PHO,PHI,13,Boris Diaw,Jalen Rose,?,Leandro Barbosa,Marcus Banks,Andre Iguodala,Kyle Korver,Shavlik Randolph,Steven Hunter,Willie Green,Kurt Thomas
2007,PHO,PHI,22,Amar'e Stoudemire,Leandro Barbosa,?,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Kyle Korver,Steven Hunter,Willie Green,Marcus Banks
2007,PHO,PHI,25,Amar'e Stoudemire,Boris Diaw,?,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Chris Webber,Kevin Ollie,Samuel Dalembert,Leandro Barbosa
2007,PHO,PHI,29,Amar'e Stoudemire,Boris Diaw,?,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Chris Webber,Steven Hunter,Willie Green,Leandro Barbosa
2007,PHO,PHI,32,Amar'e Stoudemire,Kurt Thomas,?,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Chris Webber,Kyle Korver,Willie Green,Leandro Barbosa
2007,PHO,PHI,36,Boris Diaw,Kurt Thomas,?,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Kyle Korver,Shavlik Randolph,Willie Green,Marcus Banks
2007,PHO,PHI,43,Amar'e Stoudemire,Jalen Rose,?,Marcus Banks,Shawn Marion,Allen Iverson,Andre Iguodala,Rodney Carney,Samuel Dalembert,Willie Green,Leandro Barbosa
2007,UTA,PHO,0,C.J. Miles,Carlos Boozer,?,Mehmet Okur,Ronnie Brewer,Amar'e Stoudemire,Boris Diaw,Leandro Barbosa,Raja Bell,Shawn Marion,Deron Williams
2007,UTA,PHO,7,C.J. Miles,Carlos Boozer,?,Jarron Collins,Ronnie Brewer,Amar'e Stoudemire,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Deron Williams
2007,UTA,PHO,12,Carlos Boozer,Derek Fisher,?,Jarron Collins,Matt Harpring,Jalen Rose,Kurt Thomas,Leandro Barbosa,Marcus Banks,Shawn Marion,Deron Williams
2007,UTA,PHO,17,Derek Fisher,Deron Williams,?,Mehmet Okur,Paul Millsap,Amar'e Stoudemire,Jalen Rose,Kurt Thomas,Marcus Banks,Raja Bell,Matt Harpring
2007,UTA,PHO,18,Derek Fisher,Deron Williams,?,Mehmet Okur,Paul Millsap,Amar'e Stoudemire,Leandro Barbosa,Marcus Banks,Raja Bell,Shawn Marion,Matt Harpring
2007,UTA,PHO,19,Carlos Boozer,Deron Williams,?,Mehmet Okur,Paul Millsap,Amar'e Stoudemire,Leandro Barbosa,Marcus Banks,Raja Bell,Shawn Marion,Matt Harpring
2007,UTA,PHO,20,Carlos Boozer,Deron Williams,?,Mehmet Okur,Paul Millsap,Amar'e Stoudemire,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Matt Harpring
2007,UTA,PHO,26,C.J. Miles,Carlos Boozer,?,Mehmet Okur,Ronnie Brewer,Amar'e Stoudemire,Boris Diaw,Leandro Barbosa,Raja Bell,Shawn Marion,Deron Williams
2007,UTA,PHO,30,C.J. Miles,Deron Williams,?,Roger Powell,Ronnie Brewer,Amar'e Stoudemire,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Mehmet Okur
2007,UTA,PHO,37,Carlos Boozer,Derek Fisher,?,Matt Harpring,Mehmet Okur,Jalen Rose,James Jones,Kurt Thomas,Leandro Barbosa,Raja Bell,Deron Williams
2007,UTA,PHO,40,Carlos Boozer,Derek Fisher,?,Matt Harpring,Mehmet Okur,Amar'e Stoudemire,James Jones,Leandro Barbosa,Raja Bell,Shawn Marion,Deron Williams
2007,UTA,PHO,46,Carlos Boozer,Deron Williams,?,Mehmet Okur,Paul Millsap,Amar'e Stoudemire,Jalen Rose,Kurt Thomas,Leandro Barbosa,Shawn Marion,Matt Harpring
2007,GSW,PHO,4,Andris Biedrins,Jason Richardson,?,Mike Dunleavy,Monta Ellis,Amar'e Stoudemire,Boris Diaw,Raja Bell,Shawn Marion,Steve Nash,Mickael Pietrus
2007,GSW,PHO,8,Jason Richardson,Matt Barnes,?,Monta Ellis,Troy Murphy,Boris Diaw,Kurt Thomas,Leandro Barbosa,Shawn Marion,Steve Nash,Mike Dunleavy
2007,GSW,PHO,11,Jason Richardson,Mickael Pietrus,?,Monta Ellis,Troy Murphy,Jalen Rose,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Mike Dunleavy
2007,GSW,PHO,13,Andris Biedrins,Jason Richardson,?,Mike Dunleavy,Monta Ellis,Amar'e Stoudemire,Jalen Rose,James Jones,Leandro Barbosa,Raja Bell,Mickael Pietrus
2007,GSW,PHO,15,Andris Biedrins,Matt Barnes,?,Mike Dunleavy,Monta Ellis,Boris Diaw,James Jones,Leandro Barbosa,Marcus Banks,Raja Bell,Mickael Pietrus
2007,GSW,PHO,33,Anthony Roberson,Jason Richardson,?,Monta Ellis,Troy Murphy,Boris Diaw,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Mickael Pietrus
2007,GSW,PHO,37,Andris Biedrins,Anthony Roberson,?,Mike Dunleavy,Monta Ellis,Amar'e Stoudemire,Boris Diaw,James Jones,Leandro Barbosa,Raja Bell,Mickael Pietrus
2007,GSW,PHO,39,Andris Biedrins,Matt Barnes,?,Mike Dunleavy,Monta Ellis,Amar'e Stoudemire,Boris Diaw,James Jones,Leandro Barbosa,Raja Bell,Mickael Pietrus
2007,PHO,NOP,0,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Bobby Jackson,Chris Paul,Desmond Mason,Peja Stojakovic,Tyson Chandler,Raja Bell
2007,PHO,NOP,6,Amar'e Stoudemire,Boris Diaw,?,Raja Bell,Steve Nash,Bobby Jackson,Chris Paul,Desmond Mason,Peja Stojakovic,Tyson Chandler,Leandro Barbosa
2007,PHO,NOP,7,Boris Diaw,Kurt Thomas,?,Raja Bell,Steve Nash,Bobby Jackson,Chris Paul,Desmond Mason,Marc Jackson,Peja Stojakovic,Leandro Barbosa
2007,PHO,NOP,8,Boris Diaw,Kurt Thomas,?,Raja Bell,Steve Nash,Bobby Jackson,Chris Paul,Marc Jackson,Peja Stojakovic,Rasual Butler,Leandro Barbosa
2007,PHO,NOP,13,Jalen Rose,Kurt Thomas,?,Marcus Banks,Shawn Marion,Bobby Jackson,Desmond Mason,Jannero Pargo,Marc Jackson,Rasual Butler,Leandro Barbosa
2007,PHO,NOP,20,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Chris Paul,Desmond Mason,Peja Stojakovic,Rasual Butler,Tyson Chandler,Raja Bell
2007,PHO,NOP,25,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Bobby Jackson,Chris Paul,Desmond Mason,Peja Stojakovic,Tyson Chandler,Raja Bell
2007,PHO,NOP,32,James Jones,Kurt Thomas,?,Shawn Marion,Steve Nash,Chris Paul,Desmond Mason,Peja Stojakovic,Rasual Butler,Tyson Chandler,Raja Bell
2007,PHO,NOP,40,Boris Diaw,Kurt Thomas,?,Shawn Marion,Steve Nash,Bobby Jackson,Jannero Pargo,Peja Stojakovic,Rasual Butler,Tyson Chandler,Marcus Banks
2007,PHO,NOP,43,Boris Diaw,Kurt Thomas,?,Shawn Marion,Steve Nash,Bobby Jackson,Chris Paul,Desmond Mason,Peja Stojakovic,Tyson Chandler,Raja Bell
2007,PHO,NJN,0,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,Raja Bell
2007,PHO,NJN,7,Amar'e Stoudemire,Kurt Thomas,?,Shawn Marion,Steve Nash,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,Raja Bell
2007,PHO,NJN,12,Boris Diaw,Kurt Thomas,?,Raja Bell,Shawn Marion,Marcus Williams,Mikki Moore,Nenad Krstic,Richard Jefferson,Vince Carter,Marcus Banks
2007,PHO,NJN,25,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,Raja Bell
2007,PHO,NJN,32,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Bostjan Nachbar,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,Raja Bell
2007,PHO,NJN,33,Amar'e Stoudemire,Kurt Thomas,?,Shawn Marion,Steve Nash,Bostjan Nachbar,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,Raja Bell
2007,PHO,NJN,39,Boris Diaw,James Jones,?,Marcus Banks,Steve Nash,Antoine Wright,Bostjan Nachbar,Hassan Adams,Marcus Williams,Mikki Moore,Kurt Thomas
2007,POR,PHO,8,Ime Udoka,Jarrett Jack,?,Travis Outlaw,Zach Randolph,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Martell Webster
2007,POR,PHO,11,Jamaal Magloire,Jarrett Jack,?,Stephen Graham,Travis Outlaw,Boris Diaw,Kurt Thomas,Marcus Banks,Raja Bell,Shawn Marion,Juan Dixon
2007,POR,PHO,14,Jamaal Magloire,Juan Dixon,?,Stephen Graham,Travis Outlaw,Boris Diaw,Jalen Rose,Kurt Thomas,Marcus Banks,Raja Bell,Sergio Rodriguez
2007,POR,PHO,32,Ime Udoka,Jarrett Jack,?,Travis Outlaw,Zach Randolph,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Juan Dixon
2007,POR,PHO,37,Jamaal Magloire,Juan Dixon,?,Sergio Rodriguez,Travis Outlaw,Boris Diaw,Kurt Thomas,Marcus Banks,Raja Bell,Shawn Marion,Martell Webster
2007,POR,PHO,39,Jamaal Magloire,Juan Dixon,?,Sergio Rodriguez,Travis Outlaw,Amar'e Stoudemire,Kurt Thomas,Marcus Banks,Shawn Marion,Steve Nash,Martell Webster
2007,POR,PHO,44,Jamaal Magloire,Jarrett Jack,?,Sergio Rodriguez,Travis Outlaw,Amar'e Stoudemire,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Martell Webster
2007,POR,PHO,46,Jamaal Magloire,Jarrett Jack,?,Sergio Rodriguez,Travis Outlaw,Boris Diaw,James Jones,Marcus Banks,Pat Burke,Raja Bell,Martell Webster
2007,PHO,HOU,0,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Rafer Alston,Shane Battier,Steve Novak,Tracy McGrady,Yao Ming,Raja Bell
2007,PHO,HOU,7,Amar'e Stoudemire,Kurt Thomas,?,Shawn Marion,Steve Nash,Chuck Hayes,Rafer Alston,Shane Battier,Steve Novak,Tracy McGrady,Raja Bell
2007,PHO,HOU,16,Amar'e Stoudemire,Jalen Rose,?,Shawn Marion,Steve Nash,Chuck Hayes,John Lucas III,Luther Head,Steve Novak,Tracy McGrady,Leandro Barbosa
2007,PHO,HOU,19,Amar'e Stoudemire,Jalen Rose,?,Shawn Marion,Steve Nash,Chuck Hayes,John Lucas III,Luther Head,Shane Battier,Tracy McGrady,Raja Bell
2007,PHO,HOU,30,Kurt Thomas,Leandro Barbosa,?,Shawn Marion,Steve Nash,Luther Head,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Raja Bell
2007,PHO,HOU,36,Boris Diaw,Kurt Thomas,?,Raja Bell,Shawn Marion,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Tracy McGrady,Leandro Barbosa
2007,PHO,HOU,40,Amar'e Stoudemire,Kurt Thomas,?,Shawn Marion,Steve Nash,Chuck Hayes,Luther Head,Rafer Alston,Tracy McGrady,Yao Ming,Leandro Barbosa
2007,PHO,HOU,43,Amar'e Stoudemire,Kurt Thomas,?,Shawn Marion,Steve Nash,Luther Head,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Leandro Barbosa
2007,PHO,MIL,7,Amar'e Stoudemire,Kurt Thomas,?,Raja Bell,Steve Nash,Andrew Bogut,Charlie Bell,Ersan Ilyasova,Michael Redd,Mo Williams,Leandro Barbosa
2007,PHO,MIL,20,Amar'e Stoudemire,Jalen Rose,?,Shawn Marion,Steve Nash,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,Raja Bell
2007,PHO,MIL,21,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,Raja Bell
2007,PHO,MIL,25,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,Raja Bell
2007,PHO,MIL,32,Boris Diaw,Leandro Barbosa,?,Shawn Marion,Steve Nash,Charlie Bell,Dan Gadzuric,Ersan Ilyasova,Michael Redd,Mo Williams,Raja Bell
2007,PHO,MIL,34,Amar'e Stoudemire,James Jones,?,Raja Bell,Shawn Marion,Charlie Bell,Dan Gadzuric,Ersan Ilyasova,Michael Redd,Steve Blake,Leandro Barbosa
2007,PHO,SAC,0,Amar'e Stoudemire,Boris Diaw,?,Shawn Marion,Steve Nash,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,Ronnie Price,Raja Bell
2007,PHO,SAC,5,Boris Diaw,Kurt Thomas,?,Shawn Marion,Steve Nash,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,Raja Bell
2007,PHO,SAC,7,Boris Diaw,Kurt Thomas,?,Shawn Marion,Steve Nash,Brad Miller,Francisco Garcia,Kenny Thomas,Kevin Martin,Mike Bibby,Leandro Barbosa
2007,PHO,SAC,11,James Jones,Kurt Thomas,?,Raja Bell,Shawn Marion,Brad Miller,Francisco Garcia,Kenny Thomas,Kevin Martin,Mike Bibby,Leandro Barbosa
